#                           Boiler Efficiency Data File
#                           ===========================
#
#                           (C) Crown Copyright 2015
#
#
#     Boiler efficiency tests are subject to a degree of measurement uncertainty.
#     Consequently small differences in the efficiency values calculated from them
#     are not significant and should not be relied on when comparing boilers.
#     Statistical analysis suggests that if two boilers have SEDBUK values 3   
#     percentage points apart then there is 95% confidence that the boiler with the
#     higher value is more efficient.
#
#
#
# *** Please be aware that the revision numbers on the control lines may not always
# *** be 1 more than the last file you received. There may have been additional
# *** increments in between.
#
$001,386,2015,12,17
#
#
$191,291,25,2015,12,08
# Table 191 (Current fuel prices) follows ...
#
1,1,95,4.32,2015/Dec/08 14:40
1,2,70,8.15,2015/Dec/08 14:40
1,3,0,10.44,2015/Dec/08 14:40
2,4,0,5.06,2015/Dec/08 14:40
3,11,0,4.07,2015/Dec/08 14:40
3,15,0,4.09,2015/Dec/08 14:40
3,12,0,5.09,2015/Dec/08 14:40
3,20,0,4.65,2013/Dec/10 16:52
3,22,0,6.02,2015/Dec/08 14:40
3,23,0,5.48,2015/Dec/08 14:40
3,21,0,3.41,2015/Dec/08 14:40
3,10,0,4.42,2015/Dec/08 14:40
4,30,0,15.32,2015/Dec/08 14:40
4,32,10,18.15,2015/Dec/08 14:40
4,31,0,6.86,2015/Dec/08 14:40
4,34,9,17.43,2015/Dec/08 14:40
4,33,0,9.58,2015/Dec/08 14:40
4,35,43,9.04,2015/Dec/08 14:40
4,36,0,15.32,2015/Dec/08 14:40
5,47,95,5.27,2015/Dec/08 14:40
6,48,0,3.69,2015/Dec/08 14:40
#
# ... end of Table 191 Format 291
#
#
$301,207,57,2015,09,16
# Table 301 (Manufacturers) follows ...
#
020001,Applied Energy Products Ltd,,,Morley Way,,Peterborough,,PE2 9JJ,,08709 000430,www.applied-energy.com/en/xpelair,2007/Sep/15 07:20
020002,Vent Axia Ltd,,,Fleming Way,,Crawley,West Sussex,RH10 9YX,,01293 441535,www.vent-axia.co.uk,2007/Sep/15 07:16
020003,The Nuaire Group,,Western Industrial Estate,,,Caerphilly,,CF83 1NA,,029 2085 8200,www.nuaire.co.uk,2007/Sep/15 07:09
020004,Greenwood Air Management Ltd,,Greenwood House,Brookside Avenue,,Rustington,West Sussex,BN16 3LH,,01903 771021,www.greenwood.co.uk,2007/Sep/15 07:08
020006,Zenex Technologies Ltd,Technical Centre,Unit 2,Broadly Park Road Industrial Estate,,Roborough,Plymouth,PL6 7EZ,,01752 696003,www.zenexenergy.com,2007/Sep/15 07:14
020007,Titon,,International House,Peartree Road,Stanway,Colchester,Essex,CO3 0JL,,01206 713800,www.titon.co.uk,2007/Sep/15 07:10
020008,Passivent Ltd,,,2 Brooklands Road,,Sale,Cheshire,M33 3SS,,0161 962 7113,www.passivent.com,2007/Sep/15 07:04
020009,Vortice Ltd,Beeches House,,Beeches Avenue,,Burton-on-Trent,,DE13 0BB,,01283 492949,www.vortice.ltd.uk,2008/Jan/27 08:41
020010,Villavent Ltd,,,Avenue 2,Station Lane Industrial Estate,Witney,Oxfordshire,OX28 4YL,,01993 778481,www.villavent.co.uk,2007/Oct/06 12:40
020011,Vectaire Ltd,,,Lincoln Road,Cressex Business Park,High Wycombe,Bucks,HP12 3RH,,01494 522333,www.vectaire.co.uk,2007/Nov/23 20:10
020012,MTD Solutions Ltd,,8 Burgage House,,,Blessington,Co. Wicklow,,Ireland,+353 45 900 590,www.mtd-solutions.com,2008/Mar/02 16:17
020013,Johnson & Starley Ltd,,,Rhosili Road,Brackmills,Northampton,,NN4 7LZ,,01604 762881,www.johnsonandstarleyltd.co.uk,2008/Apr/01 13:02
020014,Itho UK Ltd,Unit 52,Basepoint Business Centre,Metcalf Way,,Crawley,West Sussex,RH11 7XX,,0870 460 6741,www.itho.co.uk,2012/Feb/17 17:49
020015,Helios Ventilation Systems Ltd,Crown Gate,Wyncolls Road,The Seedbed Centre,Severalls Industrial Park,Colchester,,CO4 9HT,,01206 228500,www.heliosfans.co.uk,2008/Apr/19 11:34
020016,ProAir Heat Recovery Ventilation Systems Ltd,,Unit 18 Corporate Park,,,Claregalway,,,Ireland,+353 91 739442,www.proair.ie,2013/Sep/20 16:41
020017,Airflow Developments Ltd,,,Lancaster Road,Cressex Business Park,High Wycombe,,HP12 3QP,,01494 525252,www.airflow.co.uk,2008/May/03 12:30
020018,National Ventilation,,,Stathe Road,,Burrowbridge,Somerset,TA7 0RY,,01823 690290,www.nationalventilation.co.uk,2008/Jul/09 18:51
020019,Intervent Ventilation Systems Ltd,Unit 3,Prime Buildings,Daux Road,,Billinghurst,West Sussex,RH14 9SJ,,01403 785300,www.intervent-group.co.uk,2008/Jul/26 11:32
020020,Orcon B.V.,,,Storkstraat 23,,Veenendaal,,3905 KX,The Netherlands,+353 94 9621921,www.renewit.ie,2008/Jul/26 12:28
020021,Paul Waermerueckgewinnung Gmbh,,,Vettermannstr. 1-5,,D-08132 Muelsen,,,Germany,01484 461705,www.paulventilation.co.uk,2008/Jul/26 12:50
020022,Vallox Oy,,,Myllykläntie 9-11,,32200 Loimaa,,,Finland,01494 525252,www.vallox.com,2008/Jul/26 13:02
020023,Ubbink (UK) Ltd,,,Borough Road,,Brackely,Northants,NN13 7TB,,01280 700211,www.ubbink.co.uk,2008/Sep/12 19:10
020024,Itho BV,,,Adm. de Ruyterstraat 2,,3115 HB Schiedam,Postbus 21,,The Netherlands,+32 10 427 8500,www.itho.nl/xpelairbyitho,2008/Sep/30 15:20
020025,Ravenheat Manufacturing Ltd,,,Chartists Way,Morley,Leeds,,LS27 9ET,,0113 252 7007,www.ravenheat.co.uk,2008/Oct/18 17:29
020026,EDPAC International Ltd,,,,Carrigaline Industrial Park,Carrigaline,Co. Cork,,Ireland,+353 21 4372850,www.edpac.com,2008/Dec/13 10:38
020027,EnviroVent Ltd,,EnviroVent House,,Hornbeam Business Park,Harrogate,,HG2 8PA,,01423 810810,www.envirovent.com,2013/Apr/24 09:27
020028,Enervent Oy Ab,,,Kipinätie 1,,06150 Porvoo,,,Finland,+358 207 5288 00,www.enervent.fi,2009/Jan/12 07:29
020029,Alpha Heating Innovation Ltd,,Nepitar House,London Road,Wrotham Heath,Sevenoaks,Kent,TN15 7RS,,01732 783000,www.alpha-innovation.co.uk,2009/Jan/12 07:57
020030,Aldes,,,20 Boulevard Joliot Curie,,69694 Vénissieux Cedex,,,France,+33 4 78 77 15 15,www.aldes.com,2009/Jan/19 08:41
020031,NIBE Energy Systems Ltd,,3C Broom Business Park,Bridge Way,,Chesterfield,,S41 9QG,,0845 095 1200,www.nibe.co.uk,2010/Sep/21 17:35
020032,Utek srl,,,Via Provinciale 30,,23030 Mazzo di Valtellina,,,Italy,+39 0342 862031,www.utek.eu,2009/Mar/16 08:37
020033,Vaillant Ltd,,,Nottingham Road,,Belper,Derbyshire,DE56 1JT,,0845 602 2922,www.vaillant.co.uk,2013/Mar/10 11:39
020034,REC Indovent AB,,Box 37,Kärragatan 2,,431 21 Mölndal,,,Sweden,+45 31 67 55 00,www.rec-indovent.se,2009/Jun/18 08:47
020035,Rega Ventilation Ltd,,,21-22 Eldon Way,,Biggleswade,Bedfordshire,SG18 8NH,,01767 600499,www.rega-uk.com,2009/Jun/18 09:02
020036,Glow-worm,Vaillant Industrial UK Ltd,,Nottingham Road,,Belper,Derbyshire,DE56 1JT,,0845 602 2922,www.glow-worm.co.uk,2013/Mar/10 11:43
020037,Zehnder Comfosystems,Unit 1,,Brookside Avenue,,Rustington,West Sussex,BN16 3LF,,01903 777333,www.comfosystems.co.uk,2009/Aug/26 11:35
020038,Beam Vacuum Systems Ltd,,Opus Business Park,35 Aughrim Road,,Magherafelt,Northern Ireland,BT45 6BB,,028 7963 2424,www.beamcentralsystems.com,2009/Sep/29 13:32
020039,AB C.A. Östberg,,Box 54,Industrigatan 2,,SE 772 22 Avesta,,,Sweden,+46 226 860 00,www.ostberg.com,2009/Sep/29 14:25
020040,Kair Ventilation Ltd,,6 Chiltonian,Manor Lane,Lee,London,,SE12 0TX,,08451 662240,www.kair.co.uk,2009/Nov/23 09:26
020041,Polypipe Ltd,,,Sandall Stones Road,Kirk Sandall Industrial Estate,Kirk Sandall,Doncaster,DN3 1QR,,08443 715523,www.polypipe.com/ventilation,2010/Feb/14 19:44
020042,Brink Climate Systems B.V.,,Postbus 11,,,Staphorst,,NL-7950 AA,The Netherlands,00 31 522 469944,www.brinkclimatesystems.nl,2010/Mar/15 15:06
020043,Total Home Environment Ltd,,Swallow House,,Cotswold Business Village,Moreton in Marsh,,GL56 0JQ,,0845 260 0123,www.totalhome.co.uk,2010/Apr/02 17:33
020044,1 World Solar Ltd,,,35 Cobourg Road,Montpelier,Bristol,,BS6 5HT,,0117 941 1663,www.1worldsolar.co.uk,2010/Apr/06 18:32
020045,Daikin Europe NV,,,Zandvoordestraat 300,,BE-8400 Oostende,,,,+32 59 55 81 11,www.daikin.eu,2011/Nov/25 12:04
020046,Dimplex,,,Millbrook House Grange Drive,Hedge End,Southampton,Hampshire,S30 2DF,,0845 600 5111,www.dimplex.co.uk,2010/Apr/21 18:47
