WallType,A ,B ,C ,D ,E ,F ,G ,H ,"I, J, K "
Stone as built,0.5,0.5,0.5,0.5,0.45,0.42,0.42,0.42,0.45
Stone with internal or external insulation* ,0.57,0.57,0.57,0.57,0.52,0.49,0.49,0.49,0.52
Solid brick as built ,0.22,0.22,0.22,0.22,0.24,0.25,0.27,0.27,0.3
Solid brick with internal or external insulation ,0.29,0.29,0.29,0.29,0.31,0.32,0.34,0.34,0.37
Cavity,0.25,0.25,0.25,0.25,0.25,0.26,0.27,0.27,0.3
Timber frame (as built) ,0.15,0.15,0.15,0.25,0.27,0.27,0.27,0.27,0.3
Timber frame with internal insulation ,0.2,0.2,0.2,0.29,0.31,0.27,0.27,0.27,0.3
Cob ,0.54,0.54,0.54,0.54,0.54,0.54,0.56,0.56,0.59
Cob with internal or external insulation ,0.59,0.59,0.59,0.59,0.59,0.59,0.61,0.61,0.64
System build ,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3
System build with internal or external insulation ,0.32,0.32,0.32,0.32,0.32,0.37,0.37,0.37,0.37
