"WallType","A","B","C","D","E","F","G","H","I","J","K"
"Stone: granite or whin (as built) ",1.7,1.7,1.7,1.7,1.7,1,0.6,0.45,0.45,0.3,0.25
"Stone: sandstone (as built) ",1.5,1.5,1.5,1.5,1.5,1,0.6,0.45,0.45,0.3,0.25
"Solid brick (as built) ",2.1,2.1,2.1,2.1,1.7,1,0.6,0.45,0.45,0.3,0.25
"Stone/solid brick (external insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.30,0.30,0.21,0.19
"Stone/solid brick (internal insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.30,0.30,0.21,0.19
"Cob (as built) ",0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.45,0.3,0.25
"Cob (external insulation) ",0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.30,0.21,0.19
"Cob (internal insulation) ",0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.30,0.21,0.19
"Cavity (as built) ",2.1,1.6,1.6,1.6,1.6,1,0.6,0.45,0.45,0.3,0.25
"Filled cavity",0.5,0.5,0.5,0.5,0.5,0.4,0.35,0.45,0.45,0.30,0.25
"Timber frame (as built) ",2.5,1.9,1.9,1,0.8,0.45,0.4,0.4,0.4,0.3,0.25
"Timber frame (internal insulation) ",0.6,0.55,0.55,0.4,0.4,0.4,0.40,0.40,0.40,0.30,0.25
"System build (as built) ",2,2,2,2,1.7,1,0.6,0.45,0.45,0.3,0.25
"System build (external insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.30,0.30,0.21,0.19
"System build (internal insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.30,0.30,0.21,0.19
