# Table 4a,,,,,,,,,,,
# System code,System Type,System effy,System effy - HETAS approved,System effy - gas,System effy - lpg,Responsiveness,Table 2b row for stored water systems,Fraction of heat from secondary (table 11),Fan-assisted flue,Warm air system,Water effy
151,Manual feed independent boiler in heated space a),60,,,,0.75,2,0.1,,,same
152,Manual feed independent boiler in unheated space a),55,,,,0.75,2,0.1,,,same
153,Auto (gravity) feed independent boiler in heated space a),65,,,,0.75,2,0.1,,,same
154,Auto (gravity) feed independent boiler in unheated space a),60,,,,0.75,2,0.1,,,same
155,Wood chip/pellet independent boiler,63,,,,0.75,2,0.1,,,same
156,Open fire with back boiler to radiators,55,,,,0.5,2,0.1,,,same
158,Closed roomheater with boiler to radiators,65,,,,0.5,2,0.1,,,same
159,Stove (pellet-fired) with boiler to radiators,63,,,,0.75,2,0.1,,,same
160,Range cooker boiler (integral oven and boiler),45,,,,0.5,2,0.1,,,same
161,Range cooker boiler (independent oven and boiler),55,,,,0.5,2,0.1,,,same
191,Direct acting electric boiler,100,,,,emitter,1,0.1,,,same
192,Electric CPSU in heated space a) - radiators or underfloor,100,,,,0.75,8,0.1,,,same
193,Electric dry core storage boiler in heated space a) b),100,,,,0.75,,0.1,,,same
194,Electric dry core storage boiler in unheated space a) b),85,,,,0.75,,0.1,,,same
195,Electric water storage boiler in heated space a) b),100,,,,0.75,,0.1,,,same
196,Electric water storage boiler in unheated space a) b),85,,,,0.75,,0.1,,,same
201,Ground-to-water heat pump (electric),320,,,,emitter,2,0.1,,,same
202,Ground-to-water heat pump with auxiliary heater (electric),300,,,,emitter,2,0.1,,,same
203,Water-to-water heat pump (electric),300,,,,emitter,2,0.1,,,same
204,Air-to-water heat pump (electric),250,,,,emitter,2,0.1,,,same
205,"Gas-fired, ground source",120,,,,emitter,2,0.1,TRUE,,same
206,"Gas-fired, water source",120,,,,emitter,2,0.1,TRUE,,same
207,"Gas-fired, air source",110,,,,emitter,2,0.1,TRUE,,same
306,Community boilers,75,,,,1,,0.1,,,same
307,Community CHP,75,,,,1,,0.1,,,same
308,Community waste heat from power station,100,,,,1,,0.1,,,same
309,Community heat pump,300,,,,1,,0.1,,,same
310,Community geothermal heat source,100,,,,1,,0.1,,,same
401,Old (large volume) storage heaters,100,,,,0,,0.15,,,same
402,Modern (slimline) storage heaters,100,,,,0.25,,0.15,,,same
403,Convector storage heaters,100,,,,0.25,,0.15,,,same
404,Fan storage heaters,100,,,,0.5,,0.1,,,same
405,Modern (slimline) storage heaters with Celect-type control,100,,,,0.5,,0.15,,,same
406,Convector storage heaters with Celect-type control,100,,,,0.5,,0.15,,,same
407,Fan storage heaters with Celect-type control,100,,,,0.75,,0.1,,,same
408,Integrated storage+direct-acting heater,100,,,,0.75,,0.1,,,same
402,Modern (slimline) storage heaters,100,,,,0.5,,0.15,,,same
403,Convector storage heaters,100,,,,0.5,,0.15,,,same
404,Fan storage heaters,100,,,,0.5,,0.1,,,same
405,Modern (slimline) storage heaters with Celect-type control,100,,,,0.75,,0.15,,,same
406,Convector storage heaters with Celect-type control,100,,,,0.75,,0.15,,,same
407,Fan storage heaters with Celect-type control,100,,,,0.75,,0.1,,,same
421,In concrete slab (off-peak only),100,,,,0,,0.1,,,same
